mouse_cell_type,marm_cell_type
NeuronExcitThal,NeuronExcitThal
NeuronExcitCtxL23IT,NeuronExcitCtxL23IT
NeuronInhStrMSN,NeuronInhStrMSN
OligodendrocyteMFOL-MOL,OligodendrocyteMFOL-MOL
NeuronExcitCtxL45IT,NeuronExcitCtxL45IT
NeuronMixedThal,NeuronMixedThal
AstrocyteImmature,AstrocyteImmature
NeuronExcitCtxL6CT,NeuronExcitCtxL6CT
OPC,OPC
AstrocyteTelen,AstrocyteTelen
AstrocyteDien,AstrocyteDien
Microglia,Microglia
NeuronInhStrImmature,
NeuronExcitCtxImmature,NeuronExcitCtxImmature
NeuronExcitCtxL5ET,NeuronExcitCtxL5ET
NeuronInhCtxMGE-SST,NeuronInhCtxMGE-SST
NeuronExcitOLFRelated,
NeuronInhCtxCGE,NeuronInhCtxCGE
NeuronExcitCtxL6IT,NeuronExcitCtxL6IT
NeuronInhLSX,NeuronInhLSX
NeuronInhCtxMGE-PVALB,NeuronInhCtxMGE-PVALB
NeuronHabenula,NeuronHabenula
OligodendrocyteCOP-NFOL,OligodendrocyteCOP-NFOL
NeuronExcitCtxL5NP,NeuronExcitCtxL5NP
NeuronInhThalTRN,NeuronInhThalTRN
NeuronInhStrNacc,NeuronInhStrNacc
Fibroblast,Fibroblast
NeuronInhStrMGE,NeuronInhStrMGE
Mural,Mural
Endothelial,Endothelial
ChoroidPlexus,ChoroidPlexus
Macrophage,Macrophage
NeuronInhStrCHAT,
,NeuronInhThalMB-der
,Ependymal
,NeuronExcitCtxL5IT